departamento,provincia,candidato,partido,votos
AMAZONAS,CONDORCANQUI,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,22
AMAZONAS,CONDORCANQUI,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,20
AMAZONAS,CONDORCANQUI,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,16
AMAZONAS,CONDORCANQUI,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,16
AMAZONAS,CONDORCANQUI,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,14
AMAZONAS,CONDORCANQUI,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,12
AMAZONAS,CONDORCANQUI,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,11
AMAZONAS,CONDORCANQUI,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,10
AMAZONAS,CONDORCANQUI,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,9
AMAZONAS,CONDORCANQUI,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,6
AMAZONAS,CONDORCANQUI,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0
AMAZONAS,LUYA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,5232
AMAZONAS,LUYA,,VOTOS EN BLANCO,4755
AMAZONAS,LUYA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,3983
AMAZONAS,LUYA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2186
AMAZONAS,LUYA,,VOTOS NULOS,1964
AMAZONAS,LUYA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1340
AMAZONAS,LUYA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,612
AMAZONAS,LUYA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,569
AMAZONAS,LUYA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,515
AMAZONAS,LUYA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,471
AMAZONAS,LUYA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,382
AMAZONAS,LUYA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,311
AMAZONAS,LUYA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,253
AMAZONAS,LUYA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",222
AMAZONAS,LUYA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,197
