departamento,provincia,candidato,partido,votos,avance_pct,votos_estimados,votos_restantes,total_region,pct_region_actual,pct_region_proyectado
AMAZONAS,CHACHAPOYAS,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,131,90.588,144.61076522276682,13.610765222766815,215517.0175998866,0.06078406311431294,0.06709946473518892
AMAZONAS,CHACHAPOYAS,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,116,90.588,128.05228065527444,12.052280655274444,215517.0175998866,0.05382405588748321,0.05941631991818257
AMAZONAS,CHACHAPOYAS,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,79,90.588,87.20801872212655,8.208018722126553,215517.0175998866,0.03665603806130322,0.040464562702900185
AMAZONAS,CHACHAPOYAS,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,64,90.588,70.64953415463418,6.649534154634182,215517.0175998866,0.0296960308344735,0.03278141788589383
AMAZONAS,CHACHAPOYAS,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,59,90.588,65.13003929880338,6.130039298803382,215517.0175998866,0.027376028425530257,0.03022036961355837
AMAZONAS,CHACHAPOYAS,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,51,90.588,56.29884752947411,5.298847529474109,215517.0175998866,0.02366402457122107,0.026122692377821645
AMAZONAS,CHACHAPOYAS,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,51,90.588,56.29884752947411,5.298847529474109,215517.0175998866,0.02366402457122107,0.026122692377821645
AMAZONAS,CHACHAPOYAS,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,42,90.588,46.36375678897868,4.363756788978677,215517.0175998866,0.01948802023512323,0.021512805487617824
AMAZONAS,CHACHAPOYAS,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,40,90.588,44.15595884664636,4.155958846646357,215517.0175998866,0.018560019271545936,0.02048838617868364
AMAZONAS,CHACHAPOYAS,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,40,90.588,44.15595884664636,4.155958846646357,215517.0175998866,0.018560019271545936,0.02048838617868364
AMAZONAS,CHACHAPOYAS,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,39,90.588,43.052059875480204,4.052059875480204,215517.0175998866,0.01809601878975729,0.01997617652421655
AMAZONAS,CHACHAPOYAS,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,26,90.588,28.701373250320135,2.7013732503201346,215517.0175998866,0.01206401252650486,0.013317451016144366
AMAZONAS,CHACHAPOYAS,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,25,90.588,27.597474279153975,2.5974742791539747,215517.0175998866,0.01160001204471621,0.012805241361677277
AMAZONAS,CHACHAPOYAS,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,24,90.588,26.493575307987815,2.4935753079878147,215517.0175998866,0.011136011562927562,0.012293031707210186
AMAZONAS,CHACHAPOYAS,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,21,90.588,23.18187839448934,2.1818783944893383,215517.0175998866,0.009744010117561616,0.010756402743808912
AMAZONAS,CHACHAPOYAS,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,14,90.588,15.454585596326226,1.4545855963262255,215517.0175998866,0.006496006745041078,0.007170935162539274
AMAZONAS,CHACHAPOYAS,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,12,90.588,13.246787653993907,1.2467876539939073,215517.0175998866,0.005568005781463781,0.006146515853605093
AMAZONAS,CONDORCANQUI,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,10030,92.529,10839.844805412358,809.8448054123583,215517.0175998866,4.653924832340143,5.029693212225512
