departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov,votos_estimados,votos_restantes
AMAZONAS,CONDORCANQUI,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,102,174,150,86.207,13251,118.3198580161704,16.3198580161704
AMAZONAS,CONDORCANQUI,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,82,174,150,86.207,13251,95.11988585613699,13.119885856136989
AMAZONAS,CONDORCANQUI,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,60,174,150,86.207,13251,69.59991648010023,9.599916480100234
AMAZONAS,CONDORCANQUI,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,50,174,150,86.207,13251,57.99993040008353,7.999930400083528
AMAZONAS,CONDORCANQUI,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",46,174,150,86.207,13251,53.35993596807685,7.359935968076847
AMAZONAS,CONDORCANQUI,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,44,174,150,86.207,13251,51.0399387520735,7.039938752073503
AMAZONAS,CONDORCANQUI,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,43,174,150,86.207,13251,49.87994014407183,6.879940144071831
AMAZONAS,CONDORCANQUI,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,42,174,150,86.207,13251,48.71994153607016,6.719941536070159
AMAZONAS,CONDORCANQUI,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,35,174,150,86.207,13251,40.59995128005847,5.59995128005847
AMAZONAS,CONDORCANQUI,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,35,174,150,86.207,13251,40.59995128005847,5.59995128005847
AMAZONAS,CONDORCANQUI,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,30,174,150,86.207,13251,34.79995824005012,4.799958240050117
AMAZONAS,CONDORCANQUI,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,28,174,150,86.207,13251,32.47996102404677,4.479961024046773
AMAZONAS,CONDORCANQUI,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,26,174,150,86.207,13251,30.159963808043432,4.1599638080434325
AMAZONAS,CONDORCANQUI,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,25,174,150,86.207,13251,28.999965200041764,3.999965200041764
AMAZONAS,CONDORCANQUI,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,21,174,150,86.207,13251,24.35997076803508,3.3599707680350797
